Age	Period	Sex	Country	Non_Depressed	Depressed	Cohort			
84	2012	Male	Spain	295	175	1928			
52	2016	Male	Spain	60	18	1964			
56	2016	Male	Spain	420	42	1960			
60	2016	Male	Spain	588	68	1956			
64	2016	Male	Spain	358	52	1952			
68	2016	Male	Spain	333	62	1948			
72	2016	Male	Spain	303	47	1944			
76	2016	Male	Spain	256	67	1940			
80	2016	Male	Spain	206	70	1936			
84	2016	Male	Spain	217	167	1932			
52	2004	Female	Spain	111	72	1952			
56	2004	Female	Spain	107	56	1948			
60	2004	Female	Spain	87	63	1944			
64	2004	Female	Spain	76	59	1940			
68	2004	Female	Spain	78	67	1936			
72	2004	Female	Spain	58	79	1932			
76	2004	Female	Spain	53	71	1928			
80	2004	Female	Spain	39	66	1924			
84	2004	Female	Spain	42	76	1920			
52	2008	Female	Spain	162	91	1956			
56	2008	Female	Spain	170	85	1952			
60	2008	Female	Spain	150	83	1948			
64	2008	Female	Spain	144	88	1944			
68	2008	Female	Spain	130	80	1940			
72	2008	Female	Spain	123	104	1936			
76	2008	Female	Spain	90	114	1932			
80	2008	Female	Spain	67	85	1928			
84	2008	Female	Spain	94	117	1924			
52	2012	Female	Spain	381	140	1960			
56	2012	Female	Spain	449	195	1956			
60	2012	Female	Spain	421	230	1952			
64	2012	Female	Spain	413	229	1948			
68	2012	Female	Spain	380	221	1944			
72	2012	Female	Spain	292	210	1940			
76	2012	Female	Spain	281	249	1936			
80	2012	Female	Spain	239	256	1932			
84	2012	Female	Spain	232	392	1928			
52	2016	Female	Spain	176	68	1964			
56	2016	Female	Spain	524	136	1960			
60	2016	Female	Spain	584	226	1956			
64	2016	Female	Spain	351	134	1952			
68	2016	Female	Spain	306	147	1948			
72	2016	Female	Spain	253	159	1944			
76	2016	Female	Spain	187	150	1940			
80	2016	Female	Spain	175	186	1936			
84	2016	Female	Spain	218	289	1932			
52	2004	Male	Italy	81	18	1952			
56	2004	Male	Italy	136	34	1948			
60	2004	Male	Italy	134	44	1944			
64	2004	Male	Italy	144	35	1940			
68	2004	Male	Italy	115	37	1936			
72	2004	Male	Italy	112	34	1932			
76	2004	Male	Italy	57	29	1928			
80	2004	Male	Italy	42	19	1924			
84	2004	Male	Italy	17	20	1920			
52	2008	Male	Italy	160	30	1956			
56	2008	Male	Italy	194	37	1952			
60	2008	Male	Italy	261	58	1948			
64	2008	Male	Italy	251	51	1944			
68	2008	Male	Italy	258	93	1940			
72	2008	Male	Italy	195	61	1936			
76	2008	Male	Italy	152	70	1932			
80	2008	Male	Italy	98	46	1928			
84	2008	Male	Italy	51	54	1924			
52	2012	Male	Italy	222	50	1960			
56	2012	Male	Italy	319	71	1956			
60	2012	Male	Italy	359	71	1952			
64	2012	Male	Italy	437	106	1948			
68	2012	Male	Italy	412	110	1944			
72	2012	Male	Italy	395	130	1940			
76	2012	Male	Italy	292	103	1936			
80	2012	Male	Italy	192	89	1932			
84	2012	Male	Italy	136	117	1928			
52	2016	Male	Italy	278	72	1964			
56	2016	Male	Italy	398	76	1960			
60	2016	Male	Italy	512	120	1956			
64	2016	Male	Italy	314	71	1952			
68	2016	Male	Italy	357	98	1948			
72	2016	Male	Italy	266	93	1944			
76	2016	Male	Italy	300	120	1940			
80	2016	Male	Italy	178	86	1936			
84	2016	Male	Italy	177	98	1932			
52	2004	Female	Italy	97	62	1952			
56	2004	Female	Italy	148	78	1948			
60	2004	Female	Italy	133	85	1944			
64	2004	Female	Italy	139	84	1940			
68	2004	Female	Italy	94	69	1936			
72	2004	Female	Italy	73	65	1932			
76	2004	Female	Italy	50	45	1928			
80	2004	Female	Italy	32	41	1924			
84	2004	Female	Italy	24	36	1920			
52	2008	Female	Italy	200	107	1956			
56	2008	Female	Italy	197	117	1952			
60	2008	Female	Italy	285	142	1948			
64	2008	Female	Italy	192	134	1944			
68	2008	Female	Italy	227	146	1940			
72	2008	Female	Italy	136	126	1936			
76	2008	Female	Italy	104	117	1932			
80	2008	Female	Italy	61	70	1928			
84	2008	Female	Italy	30	85	1924			
52	2012	Female	Italy	297	143	1960			
56	2012	Female	Italy	349	196	1956			
60	2012	Female	Italy	358	216	1952			
64	2012	Female	Italy	437	233	1948			
68	2012	Female	Italy	335	231	1944			
72	2012	Female	Italy	299	234	1940			
76	2012	Female	Italy	207	220	1936			
80	2012	Female	Italy	103	168	1932			
84	2012	Female	Italy	97	203	1928			
52	2016	Female	Italy	378	206	1964			
56	2016	Female	Italy	486	228	1960			
60	2016	Female	Italy	556	288	1956			
64	2016	Female	Italy	300	170	1952			
68	2016	Female	Italy	348	227	1948			
72	2016	Female	Italy	263	188	1944			
76	2016	Female	Italy	225	187	1940			
80	2016	Female	Italy	133	156	1936			
84	2016	Female	Italy	99	160	1932			
52	2004	Male	France	173	42	1952			
56	2004	Male	France	168	54	1948			
60	2004	Male	France	122	30	1944			
64	2004	Male	France	114	24	1940			
68	2004	Male	France	98	39	1936			
72	2004	Male	France	89	33	1932			
76	2004	Male	France	75	32	1928			
80	2004	Male	France	49	17	1924			
84	2004	Male	France	40	28	1920			
52	2008	Male	France	214	58	1956			
56	2008	Male	France	269	66	1952			
60	2008	Male	France	234	32	1948			
64	2008	Male	France	162	45	1944			
68	2008	Male	France	171	32	1940			
72	2008	Male	France	166	30	1936			
76	2008	Male	France	126	37	1932			
80	2008	Male	France	86	35	1928			
84	2008	Male	France	74	45	1924			
52	2012	Male	France	303	94	1960			
56	2012	Male	France	441	132	1956			
60	2012	Male	France	528	151	1952			
64	2012	Male	France	534	123	1948			
68	2012	Male	France	389	84	1944			
72	2012	Male	France	314	97	1940			
76	2012	Male	France	251	102	1936			
80	2012	Male	France	198	105	1932			
84	2012	Male	France	212	139	1928			
52	2016	Male	France	164	74	1964			
56	2016	Male	France	278	104	1960			
60	2016	Male	France	406	132	1956			
64	2016	Male	France	294	63	1952			
68	2016	Male	France	263	55	1948			
72	2016	Male	France	190	48	1944			
76	2016	Male	France	143	55	1940			
80	2016	Male	France	111	42	1936			
84	2016	Male	France	144	77	1932			
52	2004	Female	France	141	109	1952			
56	2004	Female	France	149	89	1948			
60	2004	Female	France	126	68	1944			
64	2004	Female	France	93	68	1940			
68	2004	Female	France	93	54	1936			
72	2004	Female	France	103	60	1932			
76	2004	Female	France	79	59	1928			
80	2004	Female	France	66	59	1924			
84	2004	Female	France	68	57	1920			
52	2008	Female	France	214	157	1956			
56	2008	Female	France	208	133	1952			
60	2008	Female	France	216	144	1948			
64	2008	Female	France	154	104	1944			
68	2008	Female	France	173	109	1940			
72	2008	Female	France	147	83	1936			
76	2008	Female	France	123	77	1932			
80	2008	Female	France	98	77	1928			
84	2008	Female	France	102	109	1924			
52	2012	Female	France	334	228	1960			
56	2012	Female	France	439	311	1956			
60	2012	Female	France	484	291	1952			
64	2012	Female	France	494	263	1948			
68	2012	Female	France	375	209	1944			
72	2012	Female	France	281	225	1940			
76	2012	Female	France	277	197	1936			
80	2012	Female	France	216	219	1932			
84	2012	Female	France	327	341	1928			
52	2016	Female	France	198	166	1964			
56	2016	Female	France	292	200	1960			
60	2016	Female	France	482	212	1956			
64	2016	Female	France	236	166	1952			
68	2016	Female	France	232	147	1948			
72	2016	Female	France	190	112	1944			
76	2016	Female	France	147	124	1940			
80	2016	Female	France	118	102	1936			
84	2016	Female	France	209	191	1932			
52	2004	Male	Denmark	110	22	1952			
56	2004	Male	Denmark	116	14	1948			
60	2004	Male	Denmark	94	15	1944			
64	2004	Male	Denmark	78	6	1940			
68	2004	Male	Denmark	67	9	1936			
72	2004	Male	Denmark	57	9	1932			
76	2004	Male	Denmark	41	8	1928			
80	2004	Male	Denmark	39	5	1924			
84	2004	Male	Denmark	29	9	1920			
52	2008	Male	Denmark	163	28	1956			
56	2008	Male	Denmark	155	24	1952			
60	2008	Male	Denmark	152	16	1948			
64	2008	Male	Denmark	159	14	1944			
68	2008	Male	Denmark	110	10	1940			
72	2008	Male	Denmark	98	16	1936			
76	2008	Male	Denmark	68	9	1932			
80	2008	Male	Denmark	54	7	1928			
84	2008	Male	Denmark	46	14	1924			
52	2012	Male	Denmark	326	51	1960			
56	2012	Male	Denmark	377	60	1956			
60	2012	Male	Denmark	367	48	1952			
64	2012	Male	Denmark	357	30	1948			
68	2012	Male	Denmark	367	44	1944			
72	2012	Male	Denmark	238	34	1940			
76	2012	Male	Denmark	197	24	1936			
80	2012	Male	Denmark	134	21	1932			
84	2012	Male	Denmark	144	37	1928			
52	2016	Male	Denmark	138	22	1964			
56	2016	Male	Denmark	450	60	1960			
60	2016	Male	Denmark	544	70	1956			
64	2016	Male	Denmark	612	68	1952			
68	2016	Male	Denmark	312	30	1948			
72	2016	Male	Denmark	271	29	1944			
76	2016	Male	Denmark	173	22	1940			
80	2016	Male	Denmark	122	23	1936			
84	2016	Male	Denmark	136	22	1932			
52	2004	Female	Denmark	91	32	1952			
56	2004	Female	Denmark	94	32	1948			
60	2004	Female	Denmark	107	25	1944			
64	2004	Female	Denmark	81	11	1940			
68	2004	Female	Denmark	65	15	1936			
72	2004	Female	Denmark	59	16	1932			
76	2004	Female	Denmark	66	10	1928			
80	2004	Female	Denmark	41	13	1924			
84	2004	Female	Denmark	48	31	1920			
52	2008	Female	Denmark	173	71	1956			
56	2008	Female	Denmark	148	33	1952			
60	2008	Female	Denmark	169	33	1948			
64	2008	Female	Denmark	148	28	1944			
68	2008	Female	Denmark	90	27	1940			
72	2008	Female	Denmark	90	13	1936			
76	2008	Female	Denmark	89	24	1932			
80	2008	Female	Denmark	77	19	1928			
84	2008	Female	Denmark	81	25	1924			
52	2012	Female	Denmark	380	120	1960			
56	2012	Female	Denmark	384	126	1956			
60	2012	Female	Denmark	340	104	1952			
64	2012	Female	Denmark	370	82	1948			
68	2012	Female	Denmark	360	50	1944			
72	2012	Female	Denmark	226	55	1940			
76	2012	Female	Denmark	169	44	1936			
80	2012	Female	Denmark	170	36	1932			
84	2012	Female	Denmark	199	80	1928			
52	2016	Female	Denmark	364	146	1964			
56	2016	Female	Denmark	454	144	1960			
60	2016	Female	Denmark	564	172	1956			
64	2016	Female	Denmark	334	60	1952			
68	2016	Female	Denmark	317	68	1948			
72	2016	Female	Denmark	256	52	1944			
76	2016	Female	Denmark	174	42	1940			
80	2016	Female	Denmark	115	30	1936			
84	2016	Female	Denmark	192	86	1932			
